condition,window,subband,statistic,target0_mean,target0_std,target1_mean,target1_std,standardized_mean_difference
resize25,5x5,HL2,center_phase,0.33435049653053284,0.3623404800891876,0.334118515253067,0.36446845531463623,-0.0006383528816513717
resize25,5x5,HL2,minimum_distance_to_bit0_lattice,0.007953409105539322,0.015576599165797234,0.007817739620804787,0.015584404580295086,-0.00870764534920454
resize25,5x5,HL2,minimum_distance_to_bit1_lattice,0.18585345149040222,0.2078786939382553,0.19091148674488068,0.20849139988422394,0.024295836687088013
resize25,5x5,HL2,neighborhood_phase_mean,0.3362843096256256,0.2244718372821808,0.3315874934196472,0.22033315896987915,-0.021117625758051872
resize25,5x5,HL2,neighborhood_phase_std,0.24519622325897217,0.1474812626838684,0.25113892555236816,0.1441628634929657,0.040750473737716675
resize25,5x5,HL2,neighborhood_phase_min,0.015499290078878403,0.04268171638250351,0.014245728962123394,0.03692172095179558,-0.03141302242875099
resize25,5x5,HL2,neighborhood_phase_max,0.7360076308250427,0.4123341143131256,0.7544932961463928,0.40115150809288025,0.04544374719262123
resize25,5x5,combined,center_phase,0.34248921275138855,0.36456426978111267,0.34895390272140503,0.36777061223983765,0.017654841765761375
resize25,5x5,combined,minimum_distance_to_bit0_lattice,0.007862972095608711,0.015237009152770042,0.0075574880465865135,0.01476337481290102,-0.02036280371248722
resize25,5x5,combined,minimum_distance_to_bit1_lattice,0.17899839580059052,0.2048729956150055,0.18038621544837952,0.20438995957374573,0.006782039534300566
resize25,5x5,combined,neighborhood_phase_mean,0.3431822657585144,0.22128519415855408,0.34316620230674744,0.21676652133464813,-7.333653047680855e-05
resize25,5x5,combined,neighborhood_phase_std,0.25157690048217773,0.14508017897605896,0.25903964042663574,0.1411818563938141,0.05213439092040062
resize25,5x5,combined,neighborhood_phase_min,0.015410336665809155,0.042027972638607025,0.014480765908956528,0.036781370639801025,-0.023538267239928246
resize25,5x5,combined,neighborhood_phase_max,0.7524861693382263,0.4033544063568115,0.7744665741920471,0.3892935514450073,0.055451974272727966
resize50,3x3,LH2,center_phase,0.3252538740634918,0.40141159296035767,0.4020179212093353,0.20189328491687775,0.24160900712013245
resize50,3x3,LH2,minimum_distance_to_bit0_lattice,0.014712591655552387,0.025881053879857063,0.01730821095407009,0.029860472306609154,0.09289412200450897
resize50,3x3,LH2,minimum_distance_to_bit1_lattice,0.24016185104846954,0.19667652249336243,0.13202618062496185,0.1171603798866272,-0.6680120825767517
resize50,3x3,LH2,neighborhood_phase_mean,0.3252485692501068,0.24129891395568848,0.3844742476940155,0.18203508853912354,0.2771037518978119
resize50,3x3,LH2,neighborhood_phase_std,0.2389465719461441,0.1581360250711441,0.31666678190231323,0.0700429379940033,0.6355049014091492
resize50,3x3,LH2,neighborhood_phase_min,0.033689700067043304,0.07565857470035553,0.038628868758678436,0.07781530171632767,0.06435859203338623
resize50,3x3,LH2,neighborhood_phase_max,0.6798982620239258,0.4218222498893738,0.9308537244796753,0.10878855735063553,0.814702570438385
resize50,3x3,HL2,center_phase,0.30585625767707825,0.392525851726532,0.3848572075366974,0.20308098196983337,0.25279921293258667
