condition,subband,offset_row,offset_column,training_ber,validation_ber,validation_false_zero_count,validation_false_one_count,median_absolute_displacement_from_clean_center,mean_absolute_displacement_from_clean_center,median_circular_phase_displacement_from_clean_center,mean_circular_phase_displacement_from_clean_center,overlap_coefficient,total_variation_distance,jensen_shannon_divergence_bits,target0_phase_mean,target0_phase_std,target1_phase_mean,target1_phase_std
resize25,combined,0,-1,0.501609375,0.5031640625,9994,2887,8.0,20.35881805419922,0.2395833283662796,0.21967081725597382,0.9598969064556403,0.04010309354435969,0.0019581428248222157,0.34821873903274536,0.36801254749298096,0.3460754156112671,0.3677056133747101
resize25,combined,0,0,0.4999921875,0.5062890625,10027,2934,6.75,15.74715805053711,0.24999994039535522,0.22033894062042236,0.9492323702609409,0.050767629739059045,0.003061878462649362,0.34248921275138855,0.36456426978111267,0.34895390272140503,0.36777061223983765
resize25,combined,0,1,0.5018125,0.5089453125,10002,3027,8.0,20.242382049560547,0.2499999701976776,0.2206079065799713,0.9472163243157656,0.05278367568423445,0.0036733104439743685,0.34439361095428467,0.3642907738685608,0.3599661886692047,0.3709719479084015
resize25,combined,1,-1,0.4990703125,0.5034375,10005,2883,8.25,21.1072940826416,0.23958346247673035,0.2201818823814392,0.9582603624281161,0.04173963757188388,0.0025751702362286294,0.34562796354293823,0.36615005135536194,0.3426174223423004,0.3657177984714508
resize25,combined,1,0,0.49975,0.5040625,9990,2914,7.75,19.79842758178711,0.23958340287208557,0.22003376483917236,0.9571077370648238,0.04289226293517617,0.0024473224695311492,0.34392550587654114,0.36579686403274536,0.35207033157348633,0.36939892172813416
resize25,combined,1,1,0.5000546875,0.5040625,10051,2853,8.0,20.9410343170166,0.24999994039535522,0.22041992843151093,0.9676115978320605,0.03238840216793949,0.0017708306218216588,0.34391894936561584,0.36590391397476196,0.34386253356933594,0.3666074573993683
resize50,LH2,-1,-1,0.499265625,0.50515625,5202,1264,8.375,23.271446228027344,0.25,0.22028808295726776,0.9500942066591982,0.04990579334080186,0.0034970752687852663,0.3276456296443939,0.3718487620353699,0.3332323431968689,0.37355276942253113
resize50,LH2,-1,0,0.494546875,0.498671875,5169,1214,8.25,24.3455867767334,0.23958343267440796,0.21803385019302368,0.8385166287525034,0.16148337124749662,0.032732129057385234,0.32164064049720764,0.3703896701335907,0.4254995286464691,0.39800959825515747
resize50,LH2,-1,1,0.500109375,0.506015625,5252,1225,8.625,23.1299991607666,0.25,0.22058755159378052,0.9431524422865166,0.056847557713483425,0.005535618580389237,0.32428693771362305,0.3715576231479645,0.3203149139881134,0.3710092604160309
resize50,LH2,0,-1,0.49215625,0.496875,5159,1201,7.5,19.423202514648438,0.2291666716337204,0.21331053972244263,0.675867017256683,0.3241329827433171,0.17801194753906072,0.32873988151550293,0.37350568175315857,0.3370540142059326,0.36292049288749695
resize50,LH2,0,0,0.200734375,0.22296875,2265,589,2.0,3.10546875,0.0833333283662796,0.09715982526540756,0.21791882061409126,0.7820811793859088,0.584040200137146,0.3252538740634918,0.40141159296035767,0.4020179212093353,0.20189328491687775
resize50,LH2,0,1,0.49896875,0.50625,5201,1279,7.75,19.27816390991211,0.2291666716337204,0.21783527731895447,0.6712730690076842,0.32872693099231576,0.18054869027661408,0.3308489918708801,0.3731638789176941,0.3387565016746521,0.3674853444099426
resize50,LH2,1,-1,0.497515625,0.504140625,5213,1240,8.75,23.98746109008789,0.23958343267440796,0.22015951573848724,0.9469610989842443,0.05303890101575573,0.0044888471418038575,0.3295564353466034,0.37270721793174744,0.3406064212322235,0.37557318806648254
resize50,LH2,1,0,0.5013125,0.50875,5272,1240,8.75,25.408124923706055,0.25000011920928955,0.22507324814796448,0.6320761830972281,0.36792381690277176,0.20460299180348362,0.3171909749507904,0.3668290376663208,0.6324414610862732,0.3761439621448517
resize50,LH2,1,1,0.4978125,0.506796875,5247,1240,8.5,23.456016540527344,0.24999994039535522,0.2202555537223816,0.952964069016573,0.047035930983426864,0.004230348304887683,0.32207369804382324,0.36866462230682373,0.3303452730178833,0.37391623854637146
resize50,HL2,-1,-1,0.502,0.50828125,5257,1249,7.75,25.550371170043945,0.25,0.218218594789505,0.9363314230767887,0.06366857692321122,0.0063720473523384315,0.3152114152908325,0.36776214838027954,0.31099095940589905,0.36959996819496155
resize50,HL2,-1,0,0.490875,0.4953125,5152,1188,6.0,19.28695297241211,0.2291666716337204,0.20795734226703644,0.6407203398531395,0.35927966014686047,0.2050590559973588,0.3186112940311432,0.37259382009506226,0.31615981459617615,0.35640817880630493
resize50,HL2,-1,1,0.503359375,0.507109375,5283,1208,8.0,25.6246280670166,0.25,0.2181013822555542,0.9341676522908733,0.06583234770912659,0.006434470079939591,0.3043822646141052,0.3651464581489563,0.32819029688835144,0.37875428795814514
resize50,HL2,0,-1,0.502875,0.50578125,5288,1186,8.0,26.643495559692383,0.25,0.21573810279369354,0.8356156817859357,0.16438431821406432,0.03396363052420466,0.3113875091075897,0.3706139028072357,0.42182421684265137,0.4064846336841583
resize50,HL2,0,0,0.222203125,0.249765625,2549,648,2.0,3.329882860183716,0.0833333283662796,0.09937173873186111,0.23858749472821983,0.7614125052717802,0.5641956539307116,0.30585625767707825,0.392525851726532,0.3848572075366974,0.20308098196983337
resize50,HL2,0,1,0.50096875,0.503125,5241,1199,7.5,26.3826961517334,0.23958337306976318,0.2189176380634308,0.6070903804517984,0.3929096195482017,0.22542299539216165,0.3147529065608978,0.3716980218887329,0.6507409811019897,0.3695290982723236
