row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,attacked_height,attacked_width,dwt_subband_height,dwt_subband_width,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
45,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,mild,494,512,124,128,0.453125,0.453125,0.3703094720840454,0.7291705012321472
46,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,moderate,447,509,112,128,0.4296875,0.4296875,0.4069533348083496,0.7049545049667358
47,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,severe,389,505,98,127,0.4921875,0.5234375,0.38481438159942627,0.7348053455352783
48,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,clean,512,512,128,128,0.0,0.0,0.46129465103149414,0.8625472784042358
49,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,mild,494,512,124,128,0.4453125,0.4453125,0.3532412648200989,0.6899515390396118
50,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,moderate,447,509,112,128,0.46875,0.484375,0.33700352907180786,0.6698319911956787
51,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,severe,389,505,98,127,0.4296875,0.4609375,0.3269117772579193,0.6985040903091431
52,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,clean,512,512,128,128,0.0,0.0,0.5442677736282349,0.8731299638748169
53,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,mild,494,512,124,128,0.4765625,0.4453125,0.350938618183136,0.6945569515228271
54,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,moderate,447,509,112,128,0.515625,0.4921875,0.3401488661766052,0.6639153957366943
55,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,severe,389,505,98,127,0.5546875,0.5546875,0.32538244128227234,0.701562762260437
56,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,clean,512,512,128,128,0.0078125,0.0,0.5268175601959229,0.8751827478408813
57,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,mild,494,512,124,128,0.515625,0.4921875,0.2879226803779602,0.7475592494010925
58,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,moderate,447,509,112,128,0.5390625,0.515625,0.29898878931999207,0.7321768403053284
59,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,severe,389,505,98,127,0.4609375,0.46875,0.37888288497924805,0.7436479330062866
60,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,clean,512,512,128,128,0.0078125,0.0,0.6060016751289368,0.8991252183914185
61,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,mild,494,512,124,128,0.5625,0.546875,0.2909969687461853,0.7436085343360901
62,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,moderate,447,509,112,128,0.6015625,0.5703125,0.30403220653533936,0.7316826581954956
63,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,severe,389,505,98,127,0.5390625,0.515625,0.3796733021736145,0.7420670986175537
64,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,clean,512,512,128,128,0.0078125,0.0,0.5290363430976868,0.887671709060669
65,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,mild,494,512,124,128,0.46875,0.46875,0.21630284190177917,0.759123682975769
66,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,moderate,447,509,112,128,0.53125,0.5546875,0.23690322041511536,0.7307494878768921
67,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,severe,389,505,98,127,0.5,0.4921875,0.3005790412425995,0.7431657314300537
68,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,clean,512,512,128,128,0.0078125,0.0,0.5673191547393799,0.892153263092041
69,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,mild,494,512,124,128,0.5390625,0.5390625,0.2189989686012268,0.753731369972229
70,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,moderate,447,509,112,128,0.5078125,0.515625,0.23706331849098206,0.7304292917251587
71,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,severe,389,505,98,127,0.5546875,0.515625,0.3005355894565582,0.7432525753974915
72,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,clean,512,512,128,128,0.0,0.0,0.5519087314605713,0.8906158208847046
73,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,mild,494,512,124,128,0.515625,0.4921875,0.4032791256904602,0.6835381984710693
74,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,moderate,447,509,112,128,0.5,0.4765625,0.45328420400619507,0.7000834345817566
75,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,severe,389,505,98,127,0.5546875,0.5703125,0.4714476466178894,0.6979511976242065
76,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,clean,512,512,128,128,0.0,0.0,0.538020670413971,0.888078510761261
77,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,mild,494,512,124,128,0.546875,0.5078125,0.4032791256904602,0.6835381984710693
78,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,moderate,447,509,112,128,0.484375,0.4609375,0.45328420400619507,0.7000834345817566
79,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,severe,389,505,98,127,0.4765625,0.4921875,0.471426784992218,0.6979929208755493
80,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,clean,512,512,128,128,0.0,0.0,0.49994412064552307,0.8715150356292725
81,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,mild,494,512,124,128,0.4921875,0.4609375,0.5028377175331116,0.6651852130889893
82,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,moderate,447,509,112,128,0.5390625,0.5078125,0.5342671871185303,0.7195616960525513
83,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,severe,389,505,98,127,0.515625,0.515625,0.4644715487957001,0.7069060802459717
84,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,clean,512,512,128,128,0.0,0.0,0.5375756025314331,0.8720533847808838
85,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,mild,494,512,124,128,0.4921875,0.4765625,0.5026558637619019,0.6648215651512146
86,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,moderate,447,509,112,128,0.5078125,0.515625,0.5311284065246582,0.7186103463172913
87,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,severe,389,505,98,127,0.53125,0.515625,0.4644715487957001,0.7069060802459717
88,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,clean,512,512,128,128,0.34375,0.0,0.560125470161438,0.8466325998306274
89,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,mild,494,512,124,128,0.59375,0.5859375,0.15328851342201233,0.7921785116195679
90,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,moderate,447,509,112,128,0.5625,0.5625,0.13101691007614136,0.8093242049217224
91,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,severe,389,505,98,127,0.53125,0.53125,0.1561252772808075,0.7960388660430908
92,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,clean,512,512,128,128,0.3671875,0.0,0.5431758761405945,0.8457740545272827
93,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,mild,494,512,124,128,0.53125,0.5390625,0.15364643931388855,0.7914627194404602
94,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,moderate,447,509,112,128,0.5,0.5,0.13085681200027466,0.8096444010734558
95,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,severe,389,505,98,127,0.5625,0.546875,0.15632955729961395,0.7956302762031555
96,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,clean,512,512,128,128,0.1953125,0.0,0.512615442276001,0.8499592542648315
97,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,mild,494,512,124,128,0.421875,0.40625,0.258688747882843,0.7314222455024719
98,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,moderate,447,509,112,128,0.5,0.5234375,0.21985378861427307,0.7821384072303772
99,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,severe,389,505,98,127,0.5078125,0.53125,0.2157156765460968,0.7832063436508179
