sample_id,condition,bit_index,target_bit,subband,center_row,center_column,patch_coordinates_after_symmetric_boundary_mapping,raw_3x3_coefficients,derived_3x3x3_features
2,jpeg70,124,1,HL2,120,22,"[[119, 21], [119, 22], [119, 23], [120, 21], [120, 22], [120, 23], [121, 21], [121, 22], [121, 23]]","[[-47.25, 8.5, 3.5], [-144.5, 9.5, 3.25], [38.5, 2.5, 8.75]]","[[[-2.953125, -0.14672991633415222, -0.9891765713691711], [0.53125, 0.9951847195625305, -0.09801722317934036], [0.21875, 0.6343933343887329, 0.7730104327201843]], [[-9.03125, 0.09801749140024185, -0.9951847195625305], [0.59375, 0.9569403529167175, -0.2902846932411194], [0.203125, 0.5956993103027344, 0.803207516670227]], [[2.40625, 0.9569403529167175, 0.2902846932411194], [0.15625, 0.4713967442512512, 0.8819212317466736], [0.546875, 0.9891765117645264, -0.14673057198524475]]]"
2,jpeg70,125,1,HL2,120,48,"[[119, 47], [119, 48], [119, 49], [120, 47], [120, 48], [120, 49], [121, 47], [121, 48], [121, 49]]","[[-23.0, 75.75, 1.5], [25.5, 37.25, -3.0], [14.5, 17.75, -9.25]]","[[[-1.4375, 0.9807852506637573, -0.1950903832912445], [4.734375, 0.7409510016441345, -0.6715591549873352], [0.09375, 0.290284663438797, 0.9569403529167175]], [[1.59375, -0.956940233707428, 0.29028502106666565], [2.328125, 0.8577287197113037, 0.5141025185585022], [-0.1875, -0.5555702447891235, 0.8314695954322815]], [[0.90625, 0.2902846932411194, -0.9569403529167175], [1.109375, -0.33688995242118835, -0.9415440559387207], [-0.578125, -0.9700312614440918, -0.2429802119731903]]]"
2,jpeg70,126,1,HL2,124,1,"[[123, 0], [123, 1], [123, 2], [124, 0], [124, 1], [124, 2], [125, 0], [125, 1], [125, 2]]","[[-6.25, -9.5, -11.75], [-2.25, -18.75, -22.5], [-1.5, -17.5, 6.0]]","[[[-0.390625, -0.9415440559387207, 0.3368898332118988], [-0.59375, -0.9569403529167175, -0.2902846932411194], [-0.734375, -0.7409510612487793, -0.6715590357780457]], [[-0.140625, -0.4275550842285156, 0.903989315032959], [-1.171875, 0.5141028761863708, -0.8577285408973694], [-1.40625, 0.9569403529167175, -0.29028457403182983]], [[-0.09375, -0.290284663438797, 0.9569403529167175], [-1.09375, 0.2902848720550537, -0.9569402933120728], [0.375, 0.9238795042037964, 0.3826834559440613]]]"
2,jpeg70,127,1,HL2,126,61,"[[125, 60], [125, 61], [125, 62], [126, 60], [126, 61], [126, 62], [127, 60], [127, 61], [127, 62]]","[[3.25, -2.25, 0.0], [7.0, 6.5, 0.0], [-0.75, -1.0, 0.0]]","[[[0.203125, 0.5956993103027344, 0.803207516670227], [-0.140625, -0.4275550842285156, 0.903989315032959], [0.0, 0.0, 1.0]], [[0.4375, 0.9807853102684021, 0.19509023427963257], [0.40625, 0.9569403529167175, 0.290284663438797], [0.0, 0.0, 1.0]], [[-0.046875, -0.1467304676771164, 0.9891765117645264], [-0.0625, -0.19509032368659973, 0.9807852506637573], [0.0, 0.0, 1.0]]]"
3,jpeg50,0,0,LH2,0,74,"[[0, 73], [0, 74], [0, 75], [0, 73], [0, 74], [0, 75], [1, 73], [1, 74], [1, 75]]","[[0.75, -1.0103029524088925e-14, -4.0], [0.75, -1.0103029524088925e-14, -4.0], [6.0, -2.0095036745715333e-14, -4.0]]","[[[0.046875, 0.1467304676771164, 0.9891765117645264], [-6.314393452555578e-16, -1.98372532796468e-15, 1.0], [-0.25, -0.7071067690849304, 0.7071067690849304]], [[0.046875, 0.1467304676771164, 0.9891765117645264], [-6.314393452555578e-16, -1.98372532796468e-15, 1.0], [-0.25, -0.7071067690849304, 0.7071067690849304]], [[0.375, 0.9238795042037964, 0.3826834559440613], [-1.2559397966072083e-15, -3.9456514159988236e-15, 1.0], [-0.25, -0.7071067690849304, 0.7071067690849304]]]"
3,jpeg50,1,0,LH2,1,115,"[[0, 114], [0, 115], [0, 116], [1, 114], [1, 115], [1, 116], [2, 114], [2, 115], [2, 116]]","[[6.0, 6.25, 0.0], [-6.5, -6.0, 0.0], [-9.5, 5.5, 3.9968028886505635e-14]]","[[[0.375, 0.9238795042037964, 0.3826834559440613], [0.390625, 0.9415440559387207, 0.3368898332118988], [0.0, 0.0, 1.0]], [[-0.40625, -0.9569403529167175, 0.290284663438797], [-0.375, -0.9238795042037964, 0.3826834559440613], [0.0, 0.0, 1.0]], [[-0.59375, -0.9569403529167175, -0.2902846932411194], [0.34375, 0.8819212913513184, 0.47139668464660645], [2.4980018054066022e-15, 7.847704352136574e-15, 1.0]]]"
3,jpeg50,2,0,LH2,4,124,"[[3, 123], [3, 124], [3, 125], [4, 123], [4, 124], [4, 125], [5, 123], [5, 124], [5, 125]]","[[34.25, -23.0, 16.75], [17.0, 0.5, 49.5], [-17.0, 55.25, -6.0]]","[[[2.140625, 0.4275550842285156, 0.903989315032959], [-1.4375, 0.9807852506637573, -0.1950903832912445], [1.046875, -0.14673049747943878, -0.9891765117645264]], [[1.0625, -0.19509048759937286, -0.9807852506637573], [0.03125, 0.0980171412229538, 0.9951847195625305], [3.09375, -0.2902846038341522, -0.9569403529167175]], [[-1.0625, 0.19509048759937286, -0.9807852506637573], [3.453125, -0.9891765713691711, -0.1467302292585373], [-0.375, -0.9238795042037964, 0.3826834559440613]]]"
3,jpeg50,3,1,LH2,6,92,"[[5, 91], [5, 92], [5, 93], [6, 91], [6, 92], [6, 93], [7, 91], [7, 92], [7, 93]]","[[-3.0, -1.75, -2.25], [0.0, -8.25, -4.0], [0.0, 4.5, 8.5]]","[[[-0.1875, -0.5555702447891235, 0.8314695954322815], [-0.109375, -0.3368898630142212, 0.9415440559387207], [-0.140625, -0.4275550842285156, 0.903989315032959]], [[0.0, 0.0, 1.0], [-0.515625, -0.9987954497337341, -0.04906773939728737], [-0.25, -0.7071067690849304, 0.7071067690849304]], [[0.0, 0.0, 1.0], [0.28125, 0.7730104327201843, 0.6343932747840881], [0.53125, 0.9951847195625305, -0.09801722317934036]]]"
3,jpeg50,62,0,LH2,125,125,"[[124, 124], [124, 125], [124, 126], [125, 124], [125, 125], [125, 126], [126, 124], [126, 125], [126, 126]]","[[-16.0, 3.5, -4.5], [7.25, 5.25, 5.0], [2.0, 3.0, 8.0]]","[[[-1.0, 8.742277657347586e-08, -1.0], [0.21875, 0.6343933343887329, 0.7730104327201843], [-0.28125, -0.7730104327201843, 0.6343932747840881]], [[0.453125, 0.9891765117645264, 0.1467304825782776], [0.328125, 0.8577286601066589, 0.5141026973724365], [0.3125, 0.8314696550369263, 0.5555701851844788]], [[0.125, 0.3826834559440613, 0.9238795042037964], [0.1875, 0.5555702447891235, 0.8314695954322815], [0.5, 1.0, -4.371138828673793e-08]]]"
3,jpeg50,63,1,LH2,126,67,"[[125, 66], [125, 67], [125, 68], [126, 66], [126, 67], [126, 68], [127, 66], [127, 67], [127, 68]]","[[2.0, -1.5, 3.75], [5.75, -5.0, -4.25], [-5.75, 5.0, -3.75]]","[[[0.125, 0.3826834559440613, 0.9238795042037964], [-0.09375, -0.290284663438797, 0.9569403529167175], [0.234375, 0.6715589761734009, 0.7409511208534241]], [[0.359375, 0.9039892554283142, 0.427555114030838], [-0.3125, -0.8314696550369263, 0.5555701851844788], [-0.265625, -0.7409511804580688, 0.6715589165687561]], [[-0.359375, -0.9039892554283142, 0.427555114030838], [0.3125, 0.8314696550369263, 0.5555701851844788], [-0.234375, -0.6715589761734009, 0.7409511208534241]]]"
3,jpeg50,64,1,HL2,0,10,"[[0, 9], [0, 10], [0, 11], [0, 9], [0, 10], [0, 11], [1, 9], [1, 10], [1, 11]]","[[0.0, -1.5, -2.25], [0.0, -1.5, -2.25], [0.0, -0.75, -0.75]]","[[[0.0, 0.0, 1.0], [-0.09375, -0.290284663438797, 0.9569403529167175], [-0.140625, -0.4275550842285156, 0.903989315032959]], [[0.0, 0.0, 1.0], [-0.09375, -0.290284663438797, 0.9569403529167175], [-0.140625, -0.4275550842285156, 0.903989315032959]], [[0.0, 0.0, 1.0], [-0.046875, -0.1467304676771164, 0.9891765117645264], [-0.046875, -0.1467304676771164, 0.9891765117645264]]]"
3,jpeg50,65,1,HL2,0,108,"[[0, 107], [0, 108], [0, 109], [0, 107], [0, 108], [0, 109], [1, 107], [1, 108], [1, 109]]","[[7.0, 91.0, 26.5], [7.0, 91.0, 26.5], [7.0, 6.25, 89.5]]","[[[0.4375, 0.9807853102684021, 0.19509023427963257], [5.6875, -0.8314689993858337, 0.5555711388587952], [1.65625, -0.8819212913513184, 0.47139671444892883]], [[0.4375, 0.9807853102684021, 0.19509023427963257], [5.6875, -0.8314689993858337, 0.5555711388587952], [1.65625, -0.8819212913513184, 0.47139671444892883]], [[0.4375, 0.9807853102684021, 0.19509023427963257], [0.390625, 0.9415440559387207, 0.3368898332118988], [5.59375, -0.9569402933120728, 0.2902849018573761]]]"
3,jpeg50,124,1,HL2,120,22,"[[119, 21], [119, 22], [119, 23], [120, 21], [120, 22], [120, 23], [121, 21], [121, 22], [121, 23]]","[[-40.75, -1.5, 0.25], [-142.5, 0.5, 0.0], [35.75, 1.0, 0.0]]","[[[-2.546875, -0.9891765117645264, -0.14673028886318207], [-0.09375, -0.290284663438797, 0.9569403529167175], [0.015625, 0.049067676067352295, 0.9987954497337341]], [[-8.90625, -0.29028359055519104, -0.9569406509399414], [0.03125, 0.0980171412229538, 0.9951847195625305], [0.0, 0.0, 1.0]], [[2.234375, 0.67155921459198, 0.740950882434845], [0.0625, 0.19509032368659973, 0.9807852506637573], [0.0, 0.0, 1.0]]]"
3,jpeg50,125,1,HL2,120,48,"[[119, 47], [119, 48], [119, 49], [120, 47], [120, 48], [120, 49], [121, 47], [121, 48], [121, 49]]","[[0.75, 69.75, 9.75], [21.5, 41.0, 0.5], [18.75, 28.25, 9.75]]","[[[0.046875, 0.1467304676771164, 0.9891765117645264], [4.359375, 0.9039896130561829, 0.42755448818206787], [0.609375, 0.9415440559387207, -0.3368898928165436]], [[1.34375, -0.8819212913513184, -0.47139671444892883], [2.5625, 0.9807853102684021, -0.19509026408195496], [0.03125, 0.0980171412229538, 0.9951847195625305]], [[1.171875, -0.5141028761863708, -0.8577285408973694], [1.765625, -0.6715589761734009, 0.7409511208534241], [0.609375, 0.9415440559387207, -0.3368898928165436]]]"
3,jpeg50,126,1,HL2,124,1,"[[123, 0], [123, 1], [123, 2], [124, 0], [124, 1], [124, 2], [125, 0], [125, 1], [125, 2]]","[[0.25, -14.5, 7.75], [2.25, -16.25, -29.5], [4.5, -14.5, 4.0]]","[[[0.015625, 0.049067676067352295, 0.9987954497337341], [-0.90625, -0.2902846932411194, -0.9569403529167175], [0.484375, 0.9987954497337341, 0.049067649990320206]], [[0.140625, 0.4275550842285156, 0.903989315032959], [-1.015625, 0.0490676611661911, -0.9987954497337341], [-1.84375, 0.4713965356349945, 0.8819213509559631]], [[0.28125, 0.7730104327201843, 0.6343932747840881], [-0.90625, -0.2902846932411194, -0.9569403529167175], [0.25, 0.7071067690849304, 0.7071067690849304]]]"
3,jpeg50,127,1,HL2,126,61,"[[125, 60], [125, 61], [125, 62], [126, 60], [126, 61], [126, 62], [127, 60], [127, 61], [127, 62]]","[[3.0, 3.0, 0.0], [2.25, 2.25, 0.0], [2.25, 2.25, 0.0]]","[[[0.1875, 0.5555702447891235, 0.8314695954322815], [0.1875, 0.5555702447891235, 0.8314695954322815], [0.0, 0.0, 1.0]], [[0.140625, 0.4275550842285156, 0.903989315032959], [0.140625, 0.4275550842285156, 0.903989315032959], [0.0, 0.0, 1.0]], [[0.140625, 0.4275550842285156, 0.903989315032959], [0.140625, 0.4275550842285156, 0.903989315032959], [0.0, 0.0, 1.0]]]"
