epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,train_clean_ber,train_clean_lh2_ber,train_clean_hl2_ber,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,train_jpeg90_ber,train_jpeg90_lh2_ber,train_jpeg90_hl2_ber,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,train_jpeg70_ber,train_jpeg70_lh2_ber,train_jpeg70_hl2_ber,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,train_jpeg50_ber,train_jpeg50_lh2_ber,train_jpeg50_hl2_ber,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,train_reencode1_ber,train_reencode1_lh2_ber,train_reencode1_hl2_ber,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,train_reencode2_ber,train_reencode2_lh2_ber,train_reencode2_hl2_ber,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,train_reencode3_ber,train_reencode3_lh2_ber,train_reencode3_hl2_ber,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber
21,0.4149765968322754,0.17102120535714285,0.16702901785714286,0.17501339285714285,0.41510337591171265,0.1678236607142857,True,0.0073515625,0.007109375,0.00759375,0.0065234375,0.006953125,0.00609375,0.0606640625,0.054,0.067328125,0.0528125,0.051328125,0.054296875,0.32859375,0.335078125,0.322109375,0.345625,0.3590625,0.3321875,0.44528125,0.44690625,0.44365625,0.4576171875,0.454921875,0.4603125,0.10734375,0.097390625,0.117296875,0.0955078125,0.093515625,0.0975,0.1216171875,0.111859375,0.131375,0.10703125,0.106015625,0.108046875,0.126296875,0.116859375,0.135734375,0.1096484375,0.108515625,0.11078125
22,0.414747029542923,0.17097544642857143,0.16702232142857143,0.17492857142857143,0.41470128297805786,0.16797991071428572,False,0.0073984375,0.007125,0.007671875,0.0066015625,0.0071875,0.006015625,0.0605625,0.053984375,0.067140625,0.0528125,0.051484375,0.054140625,0.32878125,0.335234375,0.322328125,0.345859375,0.359453125,0.332265625,0.4449765625,0.44671875,0.443234375,0.4579296875,0.4559375,0.459921875,0.107359375,0.09746875,0.11725,0.0956640625,0.093359375,0.09796875,0.121421875,0.1118125,0.13103125,0.106953125,0.105859375,0.108046875,0.126328125,0.1168125,0.13584375,0.1100390625,0.10890625,0.111171875
23,0.4145251512527466,0.17091183035714286,0.16695982142857144,0.17486383928571428,0.4147205054759979,0.16775669642857144,True,0.0072421875,0.00696875,0.007515625,0.006484375,0.006875,0.00609375,0.0603359375,0.0539375,0.066734375,0.0524609375,0.051171875,0.05375,0.328640625,0.335265625,0.322015625,0.345234375,0.358359375,0.332109375,0.445015625,0.44665625,0.443375,0.457734375,0.456015625,0.459453125,0.1072734375,0.097265625,0.11728125,0.0953515625,0.093125,0.097578125,0.1214296875,0.1116875,0.131171875,0.1069921875,0.106015625,0.10796875,0.1264453125,0.1169375,0.135953125,0.1100390625,0.108359375,0.11171875
24,0.41433942317962646,0.17090736607142856,0.16702901785714286,0.1747857142857143,0.4145268499851227,0.16779017857142858,False,0.007328125,0.007078125,0.007578125,0.006640625,0.006953125,0.006328125,0.0603515625,0.05371875,0.066984375,0.051953125,0.050703125,0.053203125,0.3284453125,0.335140625,0.32175,0.3453515625,0.358828125,0.331875,0.445078125,0.44675,0.44340625,0.45828125,0.456484375,0.460078125,0.107296875,0.09759375,0.117,0.0952734375,0.092734375,0.0978125,0.1213671875,0.11190625,0.130828125,0.1070703125,0.105703125,0.1084375,0.126484375,0.117015625,0.135953125,0.1099609375,0.108125,0.111796875
25,0.4141094386577606,0.17106473214285714,0.16700446428571428,0.175125,0.4139721095561981,0.1677232142857143,True,0.0074375,0.0071875,0.0076875,0.0066015625,0.006953125,0.00625,0.06065625,0.054125,0.0671875,0.0521875,0.0509375,0.0534375,0.3285078125,0.33515625,0.321859375,0.3452734375,0.358828125,0.33171875,0.4452109375,0.446609375,0.4438125,0.4578515625,0.455859375,0.45984375,0.10746875,0.097375,0.1175625,0.0951171875,0.09234375,0.097890625,0.1215390625,0.11184375,0.131234375,0.1069921875,0.105390625,0.10859375,0.1266328125,0.116734375,0.13653125,0.1100390625,0.107890625,0.1121875
26,0.413933128118515,0.1709642857142857,0.1669642857142857,0.1749642857142857,0.41409555077552795,0.16761718750000001,True,0.0073125,0.00715625,0.00746875,0.006328125,0.006796875,0.005859375,0.060484375,0.054046875,0.066921875,0.0522265625,0.051484375,0.05296875,0.32828125,0.335140625,0.321421875,0.34515625,0.359140625,0.331171875,0.44528125,0.446515625,0.444046875,0.4578125,0.455703125,0.459921875,0.107328125,0.097328125,0.117328125,0.09484375,0.09203125,0.09765625,0.12140625,0.11178125,0.13103125,0.1069921875,0.105234375,0.10875,0.12665625,0.11678125,0.13653125,0.1099609375,0.108125,0.111796875
27,0.41377636790275574,0.1709408482142857,0.16690848214285714,0.17497321428571427,0.4138415455818176,0.16771205357142857,False,0.007296875,0.0071875,0.00740625,0.006171875,0.0065625,0.00578125,0.0605546875,0.053921875,0.0671875,0.0522265625,0.051328125,0.053125,0.3284296875,0.33528125,0.321578125,0.346015625,0.35984375,0.3321875,0.4452109375,0.446515625,0.44390625,0.4580078125,0.455625,0.460390625,0.1073515625,0.09728125,0.117421875,0.0946875,0.09140625,0.09796875,0.1212890625,0.111609375,0.13096875,0.106875,0.105,0.10875,0.126453125,0.1165625,0.13634375,0.11,0.107890625,0.112109375
28,0.41362136602401733,0.1708783482142857,0.16686607142857143,0.174890625,0.4137440621852875,0.16773995535714287,False,0.0072734375,0.007140625,0.00740625,0.0061328125,0.0065625,0.005703125,0.060625,0.05390625,0.06734375,0.0522265625,0.05125,0.053203125,0.3284765625,0.33509375,0.321859375,0.346015625,0.359375,0.33265625,0.4450625,0.446484375,0.443640625,0.4581640625,0.45609375,0.460234375,0.107171875,0.0973125,0.11703125,0.0948046875,0.0909375,0.098671875,0.1211953125,0.111625,0.130765625,0.106953125,0.104921875,0.108984375,0.12634375,0.1165,0.1361875,0.1098828125,0.10765625,0.112109375
29,0.4134546220302582,0.1709375,0.16686160714285714,0.17501339285714285,0.41320741176605225,0.1679129464285714,False,0.0073984375,0.007390625,0.00740625,0.0062890625,0.0065625,0.006015625,0.06071875,0.05403125,0.06740625,0.052265625,0.05140625,0.053125,0.328546875,0.33509375,0.322,0.3465625,0.35984375,0.33328125,0.4453515625,0.4468125,0.443890625,0.458203125,0.455859375,0.460546875,0.107140625,0.0970625,0.11721875,0.09484375,0.09109375,0.09859375,0.121046875,0.111265625,0.130828125,0.1069921875,0.104765625,0.10921875,0.126359375,0.116375,0.13634375,0.110234375,0.1078125,0.11265625
30,0.41333743929862976,0.17096205357142857,0.16704017857142858,0.17488392857142857,0.4134078919887543,0.16775669642857144,False,0.0073671875,0.007328125,0.00740625,0.0062890625,0.006484375,0.00609375,0.0606171875,0.05396875,0.067265625,0.052109375,0.05140625,0.0528125,0.3285078125,0.335296875,0.32171875,0.3463671875,0.359921875,0.3328125,0.4453984375,0.447296875,0.4435,0.4578515625,0.4559375,0.459765625,0.10715625,0.097359375,0.116953125,0.0946875,0.09109375,0.09828125,0.1212265625,0.1115,0.130953125,0.106953125,0.1053125,0.10859375,0.1264609375,0.11653125,0.136390625,0.1100390625,0.10828125,0.111796875
