condition,subband,target_bit,variable,count,mean,std,minimum,q1,median,q3,maximum
jpeg70,HL2,0,sin_pi_c_over_delta,31770,0.005507808178663254,0.4776786267757416,-1.0,-0.19509032368659973,0.0,0.24298018217086792,1.0
jpeg70,HL2,0,cos_pi_c_over_delta,31770,0.5430840849876404,0.6905450820922852,-1.0,0.3368898630142212,0.9569403529167175,1.0,1.0
jpeg70,HL2,0,qim_phase_mod_1,31770,0.3261188864707947,0.3612130284309387,0.0,0.0,0.140625,0.703125,1.0
jpeg70,HL2,0,classical_decision_margin_over_delta,31770,0.34029843405728677,0.16137672807540934,0.0,0.2187499999999929,0.375,0.5,0.5
jpeg70,HL2,1,coefficient_over_delta,32230,0.0501764677464962,2.955484390258789,-25.90625,-0.328125,0.0,0.375,30.859375
jpeg70,HL2,1,sin_pi_c_over_delta,32230,0.07150605320930481,0.6706814765930176,-1.0,-0.5555702447891235,0.0,0.6715589761734009,1.0
jpeg70,HL2,1,cos_pi_c_over_delta,32230,0.3944048285484314,0.6241137981414795,-1.0,-0.049067676067352295,0.6343932747840881,0.9238795042037964,1.0
jpeg70,HL2,1,qim_phase_mod_1,32230,0.37453266978263855,0.2913023829460144,0.0,0.125,0.34375,0.609375,1.0
jpeg70,HL2,1,classical_decision_margin_over_delta,32230,0.28051310890474723,0.15981107970490308,0.0,0.1250000000000071,0.2500000000000071,0.4375,0.5
jpeg50,LH2,0,coefficient_over_delta,32084,-0.007884089834988117,2.610649824142456,-30.78125,-0.15625,0.0,0.15625,27.09375
jpeg50,LH2,0,sin_pi_c_over_delta,32084,0.000662896316498518,0.519758403301239,-1.0,-0.290284663438797,0.0,0.290284663438797,1.0
jpeg50,LH2,0,cos_pi_c_over_delta,32084,0.5194817185401917,0.6782252788543701,-1.0,0.19509032368659973,0.9238795042037964,1.0,1.0
jpeg50,LH2,0,qim_phase_mod_1,32084,0.3224986493587494,0.34815096855163574,0.0,0.0,0.171875,0.65625,1.0
jpeg50,LH2,0,classical_decision_margin_over_delta,32084,0.33796732795162704,0.1658926192699898,0.0,0.18750000000000178,0.375000000000004,0.5,0.5
jpeg50,LH2,1,coefficient_over_delta,31916,-0.010890893638134003,2.6507177352905273,-26.546875,-0.25,0.0,0.296875,27.328125
jpeg50,LH2,1,sin_pi_c_over_delta,31916,0.014870507642626762,0.5911652445793152,-1.0,-0.4275550842285156,0.0,0.4713967442512512,1.0
jpeg50,LH2,1,cos_pi_c_over_delta,31916,0.44263750314712524,0.6740731000900269,-1.0,-0.049067676067352295,0.8314695954322815,1.0,1.0
