condition,subband,target_bit,count,median_absolute_coefficient_displacement,p90_absolute_coefficient_displacement,fraction_displacement_gt_delta_over_4,fraction_displacement_gt_delta_over_2,median_circular_phase_displacement,p90_circular_phase_displacement,classical_decision_changed_from_clean,attacked_classical_error_rate
jpeg50,LH2,1,6498,3.999999999999952,8.749999999999991,0.4946137273007079,0.18651892890120036,0.25,0.5,0.46860572483841184,0.6940597106802093
jpeg50,LH2,all,12800,3.500000000000149,8.250000000000007,0.366328125,0.1334375,0.203125,0.453125,0.34328125,0.45765625
jpeg50,HL2,0,6339,0.9999999999998863,7.750000000000002,0.23741915128569174,0.09291686385865279,0.046875,0.375,0.20634169427354473,0.20634169427354473
jpeg50,HL2,1,6461,3.999999999999943,8.749999999999943,0.46912242686890576,0.17644327503482432,0.25,0.5,0.44668008048289737,0.7091781457978641
jpeg50,HL2,all,12800,3.75,8.499999999999972,0.354375,0.135078125,0.203125,0.46875,0.32765625,0.46015625
jpeg50,combined,0,12641,0.999999999999978,7.5,0.23574084328771458,0.08583181710307729,0.0625,0.375,0.21018906732062337,0.21010995965509058
jpeg50,combined,1,12959,3.999999999999952,8.74999999999995,0.4819044679373408,0.18149548576279034,0.25,0.5,0.4576742032564241,0.7015973454741878
jpeg50,combined,all,25600,3.749999999999943,8.250000000000057,0.3603515625,0.1342578125,0.203125,0.453125,0.33546875,0.45890625
reencode1,LH2,0,6302,0.5000000000000242,3.000000000000084,0.048397334179625516,0.0036496350364963502,0.03125,0.1875,0.06553475087273881,0.06569343065693431
reencode1,LH2,1,6498,1.999999999999977,3.2500000000000093,0.05447830101569714,0.0013850415512465374,0.125,0.203125,0.08787319175130809,0.3197907048322561
reencode1,LH2,all,12800,1.2500000000000107,3.249999999999986,0.051484375,0.0025,0.078125,0.203125,0.076875,0.1946875
reencode1,HL2,0,6339,0.5,3.25,0.052689698690645215,0.003786086133459536,0.03125,0.203125,0.07240889730241364,0.07240889730241364
reencode1,HL2,1,6461,1.9999999999999964,3.500000000000057,0.06717226435536294,0.0017025228292833928,0.125,0.21875,0.11190218232471753,0.37749574369292677
reencode1,HL2,all,12800,1.5,3.499999999999943,0.06,0.002734375,0.09375,0.21875,0.09234375,0.22640625
reencode1,combined,0,12641,0.5000000000000042,3.2499999999999503,0.05054979827545289,0.003718060280041136,0.03125,0.203125,0.06898188434459299,0.06906099201012578
reencode1,combined,1,12959,1.999999999999977,3.4999999999999485,0.06080716104637703,0.0015433289605679451,0.125,0.21875,0.09985338374874604,0.3485608457442704
reencode1,combined,all,25600,1.4999999999999432,3.2500000000000284,0.0557421875,0.0026171875,0.09375,0.203125,0.084609375,0.210546875
reencode3,LH2,0,6302,0.5000000000000642,3.2500000000001705,0.07124722310377658,0.011900983814662012,0.03125,0.203125,0.07918121231355126,0.07933989209774675
reencode3,LH2,1,6498,2.0000000000000018,3.7499999999999494,0.07602339181286549,0.01061865189289012,0.125,0.21875,0.1023391812865497,0.3296398891966759
reencode3,LH2,all,12800,1.2500000000000506,3.5000000000000284,0.073671875,0.01125,0.078125,0.21875,0.0909375,0.20640625
reencode3,HL2,0,6339,0.5,3.500000000000031,0.07572172266919072,0.011358258400378608,0.03125,0.21875,0.08439817005836883,0.08439817005836883
reencode3,HL2,1,6461,2.0,3.9999999999998863,0.08744776350410154,0.012536759015632256,0.125,0.234375,0.1252128153536604,0.39049682711654543
reencode3,HL2,all,12800,1.5000000000000568,3.75,0.081640625,0.011953125,0.09375,0.234375,0.105,0.23890625
reencode3,combined,0,12641,0.5000000000000284,3.5,0.07349102127996203,0.011628826833320149,0.03125,0.21875,0.08179732616090499,0.08187643382643778
reencode3,combined,1,12959,2.0,3.7500000000000284,0.0817192684620727,0.011574967204259589,0.125,0.234375,0.11374334439385755,0.35998148005247316
reencode3,combined,all,25600,1.4999999999999742,3.7499999999998863,0.07765625,0.0116015625,0.09375,0.21875,0.09796875,0.22265625
