sample_id,condition,bit_index,target_bit,subband,center_row,center_column,raw_3x3_coefficients,derived_3x3x3_features
0,clean,126,1,HL2,124,1,"[[-8.25, -8.5, -0.5], [-4.0, -12.25, -19.5], [2.25, -14.0, 2.5]]","[[[-0.34375, -0.8819212913513184, 0.47139668464660645], [-0.3541666567325592, -0.8968727588653564, 0.44228869676589966], [-0.02083333395421505, -0.06540313363075256, 0.9978589415550232]], [[-0.1666666716337204, -0.5, 0.8660253882408142], [-0.5104166865348816, -0.9994645714759827, -0.03271917998790741], [-0.8125, -0.5555701851844788, -0.8314696550369263]], [[0.09375, 0.290284663438797, 0.9569403529167175], [-0.5833333134651184, -0.9659258127212524, -0.25881901383399963], [0.1041666641831398, 0.3214394450187683, 0.9469301104545593]]]"
0,clean,127,1,HL2,126,61,"[[2.0, 0.0, -0.25], [4.5, 13.75, 0.25], [1.0, 1.75, -1.0]]","[[[0.0833333358168602, 0.258819043636322, 0.9659258127212524], [0.0, 0.0, 1.0], [-0.010416666977107525, -0.03271908313035965, 0.9994645714759827]], [[0.1875, 0.5555702447891235, 0.8314695954322815], [0.5729166865348816, 0.973876953125, -0.22707632184028625], [0.010416666977107525, 0.03271908313035965, 0.9994645714759827]], [[0.0416666679084301, 0.13052619993686676, 0.9914448857307434], [0.0729166641831398, 0.22707626223564148, 0.973876953125], [-0.0416666679084301, -0.13052619993686676, 0.9914448857307434]]]"
1,resize75,0,0,LH2,0,74,"[[1.75, -2.25, -3.25], [1.75, -2.25, -3.25], [7.75, 1.0, -7.25]]","[[[0.0729166641831398, 0.22707626223564148, 0.973876953125], [-0.09375, -0.290284663438797, 0.9569403529167175], [-0.1354166716337204, -0.41270706057548523, 0.9108638167381287]], [[0.0729166641831398, 0.22707626223564148, 0.973876953125], [-0.09375, -0.290284663438797, 0.9569403529167175], [-0.1354166716337204, -0.41270706057548523, 0.9108638167381287]], [[0.3229166567325592, 0.8492021560668945, 0.5280678272247314], [0.0416666679084301, 0.13052619993686676, 0.9914448857307434], [-0.3020833432674408, -0.8128467202186584, 0.5824776291847229]]]"
1,resize75,1,0,LH2,1,115,"[[4.0, 2.0, 2.0], [-6.0, -3.0, -5.25], [-8.0, 4.75, -4.25]]","[[[0.1666666716337204, 0.5, 0.8660253882408142], [0.0833333358168602, 0.258819043636322, 0.9659258127212524], [0.0833333358168602, 0.258819043636322, 0.9659258127212524]], [[-0.25, -0.7071067690849304, 0.7071067690849304], [-0.125, -0.3826834559440613, 0.9238795042037964], [-0.21875, -0.6343933343887329, 0.7730104327201843]], [[-0.3333333432674408, -0.866025447845459, 0.4999999701976776], [0.1979166716337204, 0.5824777483940125, 0.8128466606140137], [-0.1770833283662796, -0.5280678272247314, 0.8492021560668945]]]"
1,resize75,2,0,LH2,4,124,"[[30.0, -20.5, 7.75], [27.5, -7.5, 44.25], [-4.5, 47.0, -2.5]]","[[[1.25, -0.70710688829422, -0.7071066498756409], [-0.8541666865348816, -0.4422886371612549, -0.8968727588653564], [0.3229166567325592, 0.8492021560668945, 0.5280678272247314]], [[1.1458333730697632, -0.4422887861728668, -0.8968726992607117], [-0.3125, -0.8314696550369263, 0.5555701851844788], [1.84375, -0.4713965356349945, 0.8819213509559631]], [[-0.1875, -0.5555702447891235, 0.8314695954322815], [1.9583333730697632, -0.13052575290203094, 0.9914449453353882], [-0.1041666641831398, -0.3214394450187683, 0.9469301104545593]]]"
1,resize75,3,1,LH2,6,92,"[[-4.0190073491430667e-14, -3.5, 3.0], [-5.5, -11.75, 0.75], [-4.04121180963557e-14, -1.0, 7.75]]","[[[-1.6745863601832383e-15, -5.260868272320782e-15, 1.0], [-0.1458333283662796, -0.44228869676589966, 0.8968727588653564], [0.125, 0.3826834559440613, 0.9238795042037964]], [[-0.2291666716337204, -0.6593458652496338, 0.7518397569656372], [-0.4895833432674408, -0.9994645714759827, 0.032718971371650696], [0.03125, 0.0980171412229538, 0.9951847195625305]], [[-1.6838382893078602e-15, -5.289934207905814e-15, 1.0], [-0.0416666679084301, -0.13052619993686676, 0.9914448857307434], [0.3229166567325592, 0.8492021560668945, 0.5280678272247314]]]"
1,resize75,62,0,LH2,125,125,"[[-12.25, -3.75, -6.5], [7.5, 2.0, -3.25], [-1.5, 1.5, 3.25]]","[[[-0.5104166865348816, -0.9994645714759827, -0.03271917998790741], [-0.15625, -0.4713967442512512, 0.8819212317466736], [-0.2708333432674408, -0.7518398761749268, 0.6593457460403442]], [[0.3125, 0.8314696550369263, 0.5555701851844788], [0.0833333358168602, 0.258819043636322, 0.9659258127212524], [-0.1354166716337204, -0.41270706057548523, 0.9108638167381287]], [[-0.0625, -0.19509032368659973, 0.9807852506637573], [0.0625, 0.19509032368659973, 0.9807852506637573], [0.1354166716337204, 0.41270706057548523, 0.9108638167381287]]]"
1,resize75,63,1,LH2,126,67,"[[0.75, -2.75, -0.5], [-0.5, -11.25, -3.0], [-2.0, 4.5, -1.25]]","[[[0.03125, 0.0980171412229538, 0.9951847195625305], [-0.1145833358168602, -0.3522500693798065, 0.935905933380127], [-0.02083333395421505, -0.06540313363075256, 0.9978589415550232]], [[-0.02083333395421505, -0.06540313363075256, 0.9978589415550232], [-0.46875, -0.9951847195625305, 0.0980171337723732], [-0.125, -0.3826834559440613, 0.9238795042037964]], [[-0.0833333358168602, -0.258819043636322, 0.9659258127212524], [0.1875, 0.5555702447891235, 0.8314695954322815], [-0.0520833320915699, -0.16289547085762024, 0.9866433143615723]]]"
1,resize75,64,1,HL2,0,10,"[[-0.25, 7.75, 1.4210854715202004e-14], [-0.25, 7.75, 1.4210854715202004e-14], [1.75, -0.25, -1.0]]","[[[-0.010416666977107525, -0.03271908313035965, 0.9994645714759827], [0.3229166567325592, 0.8492021560668945, 0.5280678272247314], [5.921189641132699e-16, 1.8601965840359547e-15, 1.0]], [[-0.010416666977107525, -0.03271908313035965, 0.9994645714759827], [0.3229166567325592, 0.8492021560668945, 0.5280678272247314], [5.921189641132699e-16, 1.8601965840359547e-15, 1.0]], [[0.0729166641831398, 0.22707626223564148, 0.973876953125], [-0.010416666977107525, -0.03271908313035965, 0.9994645714759827], [-0.0416666679084301, -0.13052619993686676, 0.9914448857307434]]]"
1,resize75,65,1,HL2,0,108,"[[4.5, 56.75, 35.5], [4.5, 56.75, 35.5], [8.75, 15.5, 61.25]]","[[[0.1875, 0.5555702447891235, 0.8314695954322815], [2.3645832538604736, 0.9108636975288391, 0.41270723938941956], [1.4791666269302368, -0.9978589415550232, -0.06540298461914062]], [[0.1875, 0.5555702447891235, 0.8314695954322815], [2.3645832538604736, 0.9108636975288391, 0.41270723938941956], [1.4791666269302368, -0.9978589415550232, -0.06540298461914062]], [[0.3645833432674408, 0.9108638167381287, 0.41270697116851807], [0.6458333134651184, 0.8968727588653564, -0.4422886371612549], [2.5520832538604736, 0.9866434335708618, -0.16289500892162323]]]"
1,resize75,124,1,HL2,120,22,"[[-58.5, 7.25, 0.5], [-103.75, 11.25, 1.0], [42.75, -0.5, 1.75]]","[[[-2.4375, -0.9807853102684021, 0.19509007036685944], [0.3020833432674408, 0.8128467202186584, 0.5824776291847229], [0.02083333395421505, 0.06540313363075256, 0.9978589415550232]], [[-4.322916507720947, -0.849202036857605, 0.5280680656433105], [0.46875, 0.9951847195625305, 0.0980171337723732], [0.0416666679084301, 0.13052619993686676, 0.9914448857307434]], [[1.78125, -0.6343931555747986, 0.7730105519294739], [-0.02083333395421505, -0.06540313363075256, 0.9978589415550232], [0.0729166641831398, 0.22707626223564148, 0.973876953125]]]"
1,resize75,125,1,HL2,120,48,"[[-2.75, 54.75, -1.75], [23.75, 31.25, -2.25], [12.25, 16.75, -0.75]]","[[[-0.1145833358168602, -0.3522500693798065, 0.935905933380127], [2.28125, 0.7730106711387634, 0.634393036365509], [-0.0729166641831398, -0.22707626223564148, 0.973876953125]], [[0.9895833134651184, 0.032719168812036514, -0.9994645714759827], [1.3020833730697632, -0.812846839427948, -0.5824774503707886], [-0.09375, -0.290284663438797, 0.9569403529167175]], [[0.5104166865348816, 0.9994645714759827, -0.03271917998790741], [0.6979166865348816, 0.8128466010093689, -0.5824778079986572], [-0.03125, -0.0980171412229538, 0.9951847195625305]]]"
1,resize75,126,1,HL2,124,1,"[[-6.75, -7.5, 1.5], [-3.25, -9.25, -17.25], [2.75, -11.75, 1.25]]","[[[-0.28125, -0.7730104327201843, 0.6343932747840881], [-0.3125, -0.8314696550369263, 0.5555701851844788], [0.0625, 0.19509032368659973, 0.9807852506637573]], [[-0.1354166716337204, -0.41270706057548523, 0.9108638167381287], [-0.3854166567325592, -0.935905933380127, 0.35225000977516174], [-0.71875, -0.7730104327201843, -0.6343932747840881]], [[0.1145833358168602, 0.3522500693798065, 0.935905933380127], [-0.4895833432674408, -0.9994645714759827, 0.032718971371650696], [0.0520833320915699, 0.16289547085762024, 0.9866433143615723]]]"
1,resize75,127,1,HL2,126,61,"[[2.25, 0.0, 0.0], [5.0, 11.5, 0.5], [2.25, 1.75, -0.25]]","[[[0.09375, 0.290284663438797, 0.9569403529167175], [0.0, 0.0, 1.0], [0.0, 0.0, 1.0]], [[0.2083333283662796, 0.6087614297866821, 0.7933533191680908], [0.4791666567325592, 0.9978589415550232, 0.06540307402610779], [0.02083333395421505, 0.06540313363075256, 0.9978589415550232]], [[0.09375, 0.290284663438797, 0.9569403529167175], [0.0729166641831398, 0.22707626223564148, 0.973876953125], [-0.010416666977107525, -0.03271908313035965, 0.9994645714759827]]]"
2,resize50,0,0,LH2,0,74,"[[0.25, 9.992007221626409e-15, -6.75], [0.25, 9.992007221626409e-15, -6.75], [8.0, 3.5, -6.0]]","[[[0.010416666977107525, 0.03271908313035965, 0.9994645714759827], [4.163336342344337e-16, 1.3079506900630562e-15, 1.0], [-0.28125, -0.7730104327201843, 0.6343932747840881]], [[0.010416666977107525, 0.03271908313035965, 0.9994645714759827], [4.163336342344337e-16, 1.3079506900630562e-15, 1.0], [-0.28125, -0.7730104327201843, 0.6343932747840881]], [[0.3333333432674408, 0.866025447845459, 0.4999999701976776], [0.1458333283662796, 0.44228869676589966, 0.8968727588653564], [-0.25, -0.7071067690849304, 0.7071067690849304]]]"
