row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
53,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,resize75,0.078125,0.109375,0.5610494613647461,0.8097870349884033
54,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,resize50,0.125,0.15625,0.6219736337661743,0.7893152236938477
55,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,resize25,0.5703125,0.546875,0.428610622882843,0.6713732481002808
56,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,clean,0.0078125,0.0,0.5268175601959229,0.8751827478408813
57,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,resize75,0.09375,0.0859375,0.5181527137756348,0.7974656224250793
58,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,resize50,0.078125,0.078125,0.5407472848892212,0.7711246609687805
59,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,resize25,0.4609375,0.421875,0.41891250014305115,0.6977595090866089
60,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,clean,0.0078125,0.0,0.6060016751289368,0.8991252183914185
61,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,resize75,0.0859375,0.0703125,0.5930774211883545,0.8274002075195312
62,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,resize50,0.0859375,0.0546875,0.5903689861297607,0.804649293422699
63,15,5234037.png,1,ec3b3a162cb55298a0748ce072d60af383b06f6caef79c2a85b8ef3850ab739e,resize25,0.5078125,0.453125,0.420306921005249,0.7005484104156494
64,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,clean,0.0078125,0.0,0.5290363430976868,0.887671709060669
65,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,resize75,0.0546875,0.0390625,0.5362374782562256,0.8572387099266052
66,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,resize50,0.09375,0.0859375,0.5583999156951904,0.8392364978790283
67,16,5234084.png,0,52eab2067cd8aac83f6f9190cd91e1e8e84c6c4941c380a8a7865d79d265d84f,resize25,0.5,0.4921875,0.3144466280937195,0.7434349060058594
68,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,clean,0.0078125,0.0,0.5673191547393799,0.892153263092041
69,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,resize75,0.0390625,0.03125,0.5779126286506653,0.8613862991333008
70,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,resize50,0.09375,0.09375,0.5815600156784058,0.839739203453064
71,17,5234084.png,1,ef03b0755ff2406f5349ffdcb61648049d41ec04d1e18d52bc8970b377ce233f,resize25,0.4921875,0.5,0.31487762928009033,0.7422505617141724
72,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,clean,0.0,0.0,0.5519087314605713,0.8906158208847046
73,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,resize75,0.109375,0.1171875,0.5566806793212891,0.819122314453125
74,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,resize50,0.0390625,0.046875,0.5720973014831543,0.8213371634483337
75,18,5234162.png,0,1031e9c762cce5b22d17a94a0b71154c085314df4140707eafb6fe33a0127ff1,resize25,0.453125,0.453125,0.4234870672225952,0.7142001390457153
76,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,clean,0.0,0.0,0.538020670413971,0.888078510761261
77,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,resize75,0.0859375,0.09375,0.5556818842887878,0.8253892064094543
78,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,resize50,0.0390625,0.0546875,0.5573235750198364,0.8288977146148682
79,19,5234162.png,1,631a7ba0a6bc92cc280a958afb02376cc57fcedb92d3b199977fa6ff3f9da379,resize25,0.484375,0.46875,0.4234870672225952,0.7142001390457153
80,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,clean,0.0,0.0,0.49994412064552307,0.8715150356292725
81,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,resize75,0.171875,0.1875,0.5271240472793579,0.7328231334686279
82,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,resize50,0.2734375,0.28125,0.5443060398101807,0.7670137882232666
83,20,5234215.png,0,5027e7d734951cca4a78d5f782c0e46a1177c584161e936e0a49a3fa2f560684,resize25,0.421875,0.421875,0.48265090584754944,0.6909787058830261
84,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,clean,0.0,0.0,0.5375756025314331,0.8720533847808838
85,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,resize75,0.1640625,0.2109375,0.5810249447822571,0.7265663146972656
86,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,resize50,0.265625,0.2734375,0.5306576490402222,0.7193350195884705
87,21,5234215.png,1,96d42af75d4630341392893b7c991c6c3603ec84d82dff5a215f28efeb1138d9,resize25,0.515625,0.515625,0.4828020930290222,0.6906420588493347
88,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,clean,0.34375,0.0,0.560125470161438,0.8466325998306274
89,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,resize75,0.3984375,0.0546875,0.5389407873153687,0.7627837657928467
90,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,resize50,0.40625,0.1015625,0.501358687877655,0.7018293142318726
91,22,5234269.png,0,395c5bbb903ea600104109c8d07b5741213a6263ae128c5cf4c12ef152832960,resize25,0.5,0.46875,0.2772787809371948,0.7601351737976074
92,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,clean,0.3671875,0.0,0.5431758761405945,0.8457740545272827
93,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,resize75,0.40625,0.0546875,0.5218110084533691,0.7611862421035767
94,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,resize50,0.40625,0.078125,0.47874197363853455,0.6939606666564941
95,23,5234269.png,1,240e85a318bbb21ef61df6b29067417b5580328ed60429b547bc378548388108,resize25,0.515625,0.484375,0.27669286727905273,0.7614473104476929
96,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,clean,0.1953125,0.0,0.512615442276001,0.8499592542648315
97,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,resize75,0.2890625,0.09375,0.49981576204299927,0.7698808908462524
98,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,resize50,0.2734375,0.09375,0.4833146333694458,0.7332744598388672
99,24,5234270.png,0,2af8f5c434c8164ec62f107ad7959fe0e34858e7a0ac66e27997cfde25961d6e,resize25,0.4453125,0.4609375,0.2731875777244568,0.7088290452957153
100,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,clean,0.234375,0.0,0.5446730256080627,0.8567855358123779
101,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,resize75,0.3046875,0.0703125,0.528717041015625,0.7768690586090088
102,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,resize50,0.3046875,0.078125,0.5093159675598145,0.7129803895950317
103,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,resize25,0.578125,0.5703125,0.2675503194332123,0.7136964201927185
104,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,clean,0.2734375,0.0078125,0.509642481803894,0.8353849649429321
105,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,resize75,0.375,0.1171875,0.5155414342880249,0.7447800636291504
106,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,resize50,0.3984375,0.1328125,0.47359010577201843,0.6862205266952515
107,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,resize25,0.5,0.5078125,0.2882928252220154,0.7635664343833923
108,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,clean,0.2421875,0.0,0.512784481048584,0.8414292931556702
109,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,resize75,0.359375,0.109375,0.49616706371307373,0.7647414207458496
110,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,resize50,0.3359375,0.09375,0.44930320978164673,0.7097879648208618
111,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,resize25,0.4765625,0.5,0.28960925340652466,0.7629426717758179
112,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,clean,0.359375,0.0,0.5472019910812378,0.8501845598220825
113,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,resize75,0.421875,0.078125,0.5582467317581177,0.7795001268386841
114,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,resize50,0.453125,0.09375,0.5093386173248291,0.6662958264350891
115,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,resize25,0.5625,0.5390625,0.2639603018760681,0.771858811378479
116,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,clean,0.3046875,0.0,0.48055559396743774,0.8454655408859253
117,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,resize75,0.3671875,0.0703125,0.47964179515838623,0.767306923866272
118,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,resize50,0.3828125,0.078125,0.4320112466812134,0.6699939370155334
119,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,resize25,0.484375,0.4765625,0.25326666235923767,0.7809903621673584
120,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,clean,0.0546875,0.0,0.5583789944648743,0.8670847415924072
121,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,resize75,0.1640625,0.1015625,0.5523964166641235,0.7934190630912781
