epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,train_clean_ber,train_clean_lh2_ber,train_clean_hl2_ber,train_clean_perfect_payloads,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,validation_clean_perfect_payloads,train_jpeg90_ber,train_jpeg90_lh2_ber,train_jpeg90_hl2_ber,train_jpeg90_perfect_payloads,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,validation_jpeg90_perfect_payloads,train_jpeg70_ber,train_jpeg70_lh2_ber,train_jpeg70_hl2_ber,train_jpeg70_perfect_payloads,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,validation_jpeg70_perfect_payloads,train_jpeg50_ber,train_jpeg50_lh2_ber,train_jpeg50_hl2_ber,train_jpeg50_perfect_payloads,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,validation_jpeg50_perfect_payloads,train_reencode1_ber,train_reencode1_lh2_ber,train_reencode1_hl2_ber,train_reencode1_perfect_payloads,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,validation_reencode1_perfect_payloads,train_reencode2_ber,train_reencode2_lh2_ber,train_reencode2_hl2_ber,train_reencode2_perfect_payloads,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,validation_reencode2_perfect_payloads,train_reencode3_ber,train_reencode3_lh2_ber,train_reencode3_hl2_ber,train_reencode3_perfect_payloads,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber,validation_reencode3_perfect_payloads
21,0.4486542344093323,0.19309709821428572,0.191828125,0.19436607142857143,0.4640774130821228,0.20470424107142857,True,0.000375,0.00025,0.0005,953,0.000390625,0.0003125,0.00046875,190,0.064828125,0.05425,0.07540625,7,0.0554296875,0.051796875,0.0590625,1,0.3314765625,0.338171875,0.32478125,0,0.3500390625,0.360625,0.339453125,0,0.4496640625,0.450609375,0.44871875,0,0.45953125,0.453671875,0.465390625,0,0.1583671875,0.156390625,0.16034375,0,0.18125,0.195625,0.166875,0,0.1713671875,0.169640625,0.17309375,0,0.19171875,0.206875,0.1765625,0,0.1756015625,0.173484375,0.17771875,0,0.1945703125,0.20859375,0.180546875,0
22,0.448603093624115,0.19308705357142858,0.19180133928571427,0.19437276785714286,0.4639998972415924,0.20470424107142857,True,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.06484375,0.05425,0.0754375,7,0.0554296875,0.051796875,0.0590625,1,0.3314921875,0.3381875,0.324796875,0,0.3500390625,0.360625,0.339453125,0,0.4496640625,0.450625,0.448703125,0,0.4595703125,0.453671875,0.46546875,0,0.1583359375,0.156296875,0.160375,0,0.18125,0.195625,0.166875,0,0.171328125,0.1695625,0.17309375,0,0.1916796875,0.206796875,0.1765625,0,0.175578125,0.1734375,0.17771875,0,0.1945703125,0.20859375,0.180546875,0
23,0.44856542348861694,0.19302678571428572,0.19179910714285714,0.19425446428571427,0.4639545977115631,0.20457589285714284,True,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.064796875,0.05425,0.07534375,7,0.055234375,0.051640625,0.058828125,1,0.3313515625,0.33825,0.324453125,0,0.34984375,0.36046875,0.33921875,0,0.4496484375,0.45059375,0.448703125,0,0.4595703125,0.453828125,0.4653125,0,0.15828125,0.156265625,0.160296875,0,0.1809375,0.19546875,0.16640625,0,0.1712578125,0.1695625,0.172953125,0,0.1914453125,0.206796875,0.17609375,0,0.175484375,0.173421875,0.177546875,0,0.194609375,0.20859375,0.180625,0
24,0.44851937890052795,0.19302790178571427,0.19179464285714284,0.1942611607142857,0.4639359712600708,0.20458705357142856,False,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.064796875,0.05425,0.07534375,7,0.055234375,0.051640625,0.058828125,1,0.3313359375,0.33821875,0.324453125,0,0.349921875,0.36046875,0.339375,0,0.4496640625,0.45059375,0.448734375,0,0.4595703125,0.453828125,0.4653125,0,0.1582578125,0.156265625,0.16025,0,0.1809375,0.19546875,0.16640625,0,0.171265625,0.1695625,0.17296875,0,0.1914453125,0.206796875,0.17609375,0,0.1755078125,0.173421875,0.17759375,0,0.194609375,0.20859375,0.180625,0
25,0.4484936594963074,0.19302566964285714,0.19179910714285714,0.19425223214285714,0.46378958225250244,0.20461495535714286,False,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.0648046875,0.054265625,0.07534375,7,0.055234375,0.051640625,0.058828125,1,0.3313359375,0.338203125,0.32446875,0,0.3499609375,0.360625,0.339296875,0,0.4496640625,0.450609375,0.44871875,0,0.4595703125,0.453828125,0.4653125,0,0.158234375,0.15625,0.16021875,0,0.1808984375,0.19546875,0.166328125,0,0.1712578125,0.169578125,0.1729375,0,0.191640625,0.206796875,0.176484375,0,0.175515625,0.1734375,0.17759375,0,0.194609375,0.20859375,0.180625,0
26,0.4484519958496094,0.19300892857142857,0.1918169642857143,0.19420089285714287,0.46379637718200684,0.20463169642857143,False,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.064796875,0.0543125,0.07528125,7,0.0552734375,0.051640625,0.05890625,1,0.33140625,0.338171875,0.324640625,0,0.350078125,0.360703125,0.339453125,0,0.4495625,0.45059375,0.44853125,0,0.4594140625,0.45375,0.465078125,0,0.1581484375,0.1563125,0.159984375,0,0.1809375,0.19546875,0.16640625,0,0.1712578125,0.16959375,0.172921875,0,0.1916796875,0.206875,0.176484375,0,0.1755234375,0.173484375,0.1775625,0,0.1946484375,0.20859375,0.180703125,0
27,0.4484340250492096,0.193015625,0.19178348214285715,0.19424776785714284,0.4638189673423767,0.20457589285714287,True,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.06484375,0.054234375,0.075453125,8,0.0553125,0.051796875,0.058828125,1,0.331328125,0.3381875,0.32446875,0,0.350078125,0.360625,0.33953125,0,0.4496171875,0.45059375,0.448640625,0,0.45953125,0.45390625,0.46515625,0,0.1581875,0.15621875,0.16015625,0,0.1807421875,0.19546875,0.166015625,0,0.171265625,0.169578125,0.172953125,0,0.1915234375,0.206875,0.176171875,0,0.1755,0.173421875,0.177578125,0,0.194453125,0.20859375,0.1803125,0
28,0.4483952224254608,0.19301227678571428,0.19179017857142858,0.194234375,0.4637041687965393,0.2046205357142857,False,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.0648125,0.054171875,0.075453125,8,0.0553515625,0.051796875,0.05890625,1,0.33140625,0.33825,0.3245625,0,0.3501953125,0.360703125,0.3396875,0,0.4495546875,0.45059375,0.448515625,0,0.459453125,0.453984375,0.464921875,0,0.1581796875,0.156296875,0.1600625,0,0.1808984375,0.195625,0.166171875,0,0.171234375,0.16953125,0.1729375,0,0.1915234375,0.206875,0.176171875,0,0.17553125,0.1734375,0.177625,0,0.19453125,0.208671875,0.180390625,0
29,0.4483620226383209,0.19303013392857143,0.19182366071428572,0.19423660714285715,0.4636930525302887,0.20452008928571427,True,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.06478125,0.054140625,0.075421875,8,0.0552734375,0.051640625,0.05890625,1,0.3314921875,0.338390625,0.32459375,0,0.3499609375,0.360234375,0.3396875,0,0.449546875,0.450640625,0.448453125,0,0.459453125,0.453984375,0.464921875,0,0.1581875,0.15628125,0.16009375,0,0.180703125,0.195390625,0.166015625,0,0.1713046875,0.169625,0.172984375,0,0.1914453125,0.20671875,0.176171875,0,0.17553125,0.1734375,0.177625,0,0.1944140625,0.2084375,0.180390625,0
30,0.44833409786224365,0.1930435267857143,0.19184598214285714,0.19424107142857142,0.46360334753990173,0.20445312499999999,True,0.0003671875,0.00025,0.000484375,954,0.000390625,0.0003125,0.00046875,190,0.0648828125,0.0543125,0.075453125,8,0.0552734375,0.051640625,0.05890625,1,0.3314921875,0.338375,0.324609375,0,0.3499609375,0.3603125,0.339609375,0,0.4495,0.450546875,0.448453125,0,0.4594140625,0.45390625,0.464921875,0,0.158203125,0.1563125,0.16009375,0,0.180625,0.195234375,0.166015625,0,0.17134375,0.1696875,0.173,0,0.19125,0.2065625,0.1759375,0,0.175515625,0.1734375,0.17759375,0,0.1942578125,0.20828125,0.180234375,0
